Front	Back
Покажи, что \(\hat{F}_n(t)\) — несмещённая оценка \(F(t)\)	\(\mathbb{E}\hat{F}_n(t) = \frac{\mathbb{E}\nu_n(t)}{n} = \frac{nF(t)}{n} = F(t)\), т.к. \(\nu_n(t) \sim \text{Bin}(n, F(t))\).
Какова асимптотическая нормальность для \(\hat{F}_n(t)\)?	\[\sqrt{n} \cdot \frac{\hat{F}_n(t) - F(t)}{\sqrt{F(t)(1-F(t))}} \xrightarrow{d} \mathcal{N}(0,1)\]
Что утверждает теорема **Гливенко–Кантелли**?	\[P\left(\sup_{t \in \mathbb{R}}\left|\hat{F}_n(t) - F(t)\right| \xrightarrow[n \to \infty]{} 0\right) = 1\] С вероятностью 1 эмпирическая ФР сходится к теоретической **равномерно**.
Что утверждает теорема **Колмогорова** (для эмпирической ФР)?	Для непрерывной \(F\): \(D_n = \sqrt{n} \sup_t |\hat{F}_n(t) - F(t)|\) сходится по распределению к функции Колмогорова \(K(x)\). Используется для критерия Колмогорова.
Важное условие применимости теоремы Колмогорова?	**Только для непрерывных распределений**. Для дискретных не работает.
Что такое **статистика** (как термин)?	Функция от выборки (измеримая функция от \(X_1, \ldots, X_n\)). Это и сам предмет, и термин.
Дай определение **квантили порядка α**	Число \(u_\alpha\): \(P(\xi \leq u_\alpha) \geq \alpha\). В непрерывном случае: \(F(u_\alpha) = \alpha\). Геометрически: делит вероятностную массу на \(\alpha\) слева и \(1-\alpha\) справа.
Что такое **эмпирическое распределение**?	Распределение, заданное эмпирической ФР: с.в. \(Y\) принимает значения \(x_1, \ldots, x_n\) с вероятностями \(\frac{1}{n}\) каждое (или с долей повторов).
Формула выборочного начального момента порядка k	\[\hat{\alpha}_k = \overline{X^k} = \frac{1}{n}\sum_{i=1}^{n} X_i^k\]
Что такое **выборочное среднее**?	\(\hat{\alpha}_1 = \overline{X} = \frac{1}{n}\sum_{i=1}^{n} X_i\) — самый важный выборочный момент 1-го порядка.
Формула выборочного центрального момента порядка k	\[\hat{\beta}_k = \overline{(X - \overline{X})^k} = \frac{1}{n}\sum_{i=1}^{n}(X_i - \overline{X})^k\]
Формула выборочной дисперсии \(S_*^2\) (со звёздочкой)	\[S_*^2 = \hat{\beta}_2 = \frac{1}{n}\sum_{i=1}^{n}(X_i - \overline{X})^2 = \overline{X^2} - \overline{X}^2\]
Ключевое наблюдение про выборочные моменты	**Выборочный момент = матожидание относительно эмпирического распределения**. Поэтому теоретические формулы (вроде \(\text{Var}(X) = \mathbb{E}X^2 - (\mathbb{E}X)^2\)) переносятся на выборочные напрямую.
Свойства начального выборочного момента \(\hat{\alpha}_k\)	1) **Несмещённость**: \(\mathbb{E}\hat{\alpha}_k = \alpha_k\). 2) **Состоятельность** (по ЗБЧ): \(\hat{\alpha}_k \xrightarrow{P} \alpha_k\). 3) **Асимптотическая нормальность** (по ЦПТ).
Распределение Коши — особенность?	У него **не существует матожидания и дисперсии**. Важный пример для оговорок о существовании моментов.
Какая ЦПТ-формула с **выборочными** моментами в знаменателе?	\[\sqrt{n} \cdot \frac{\hat{\alpha}_k - \alpha_k}{\sqrt{\hat{\alpha}_{2k} - \hat{\alpha}_k^2}} \xrightarrow{d} \mathcal{N}(0,1)\] Замена теоретических моментов на выборочные сохраняет сходимость к \(\mathcal{N}(0,1)\).
Почему замена теоретических моментов на выборочные в знаменателе ЦПТ-формулы работает?	Выборочные моменты состоятельны, непрерывные функции сохраняют сходимость по вероятности → второй множитель сходится к 1 по вероятности. По свойству сходимости получаем \(\mathcal{N}(0,1)\).
Как строится первый доверительный интервал для \(F(t)\) (схема)?	1) ЦПТ-формула. 2) Оценить \(F(t)(1-F(t)) \leq 1/4\) (максимум параболы на \([0,1]\)). 3) Получить \(\delta \geq \frac{u_{(1+\gamma)/2}}{2\sqrt{n}}\).
Как при росте \(n\) ведёт себя гистограмма для непрерывного распределения?	Стремится к теоретической плотности (по ЗБЧ для долей в интервалах).
